0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,cat
3,1,1349,27,2437,431,15,9,13,2,20,3387,1,801,17,30,194,31,67,21,105,172,1,289,162,9,13,2,388,1,263,1113,6746,2,1218,1,8316,3762,12,5731,9,8067,70,287,3507,2,387,7360,638,77,329,1,49,18,1299,2,1218,43,2,1,8316,5020,35,1899,2,387,5731,7610,11,5675,2946,4,28,236,12,2103,323,890,7,7493,20,3608,710,529,6745,9,353,238,240,35,5374,1,652,18,45,7877,11,681,2,935,459,17,706,52,1033,573,2437,431,279,6,5,119,35,5102,171,1,263,1113,4,1448,287,30,141,7,679,5020,36,45,4647,32,227,526,2,1853,177,481,8,1161,4,1,3492,3,7360,5731,122,1,379,24,51,9,136,4993,420,3135,3,944,5865,2,387,5731,35,58,403,2043,2561,199,2547,21,1,1347,3,1452,30,141,14,297,12,556,64,11,1961,31,1587,922,3,5,338,387,2,1,7603,1664,533,22,2835,14,108,2,16,1027,2
27,1,227,3334,803,2,1,1886,3,2169,3792,37,951,1,74,14,390,40,59,11,9,2289,4,5,107,433,36,20,2,191,43,752,30,141,3702,26,170,29,25,938,8,34,95,1423,1179,10,1,2250,1805,12,1,214,20,39,9078,225,1,463,12,575,2752,38,186,8,207,1099,929,6560,324,1,2337,752,2,16,387,20,28,39,470,29,45,54,38,186,8,2221,74,2363,4,40,390,12,460,218,107,4,1,637,1042,20,13,1,147,7,4596,88,28,1214,43,4,652,11,36,387,8007,218,24,30,273,13,816,1620,5,527,683,21,1,111,121,165,40,1875,4,40,207,174,107,4,427,854,8,217,4,1044,752,1,637,1042,20,45,749,38,747,121,2230,17,370,622,725,326,31,147,14,1,8008,988,1002,12,1,588,548,476,207,4,956,6059,1770,107,254,99,21,1,427,1000,178,97,38,3882,17,121,6561,1072,1700,4826,30,273,3,2557,5,7182,2
53,1,283,42,2056,2,7699,6,657,2,677,1666,6,2995,1774,283,4,7226,283,25,1,66,5245,10,44,4344,29,25,71,1522,24,44,2248,2,283,50,35,3526,1823,930,65,41,52,766,101,44,166,19,3194,7293,165,4,109,3,22,1820,1774,4,7226,1332,43,6280,52,106,2796,33,57,277,7699,6273,6,126,175,24,11,9,905,438,2,176,132,126,767,4,1,5168,3,7699,44,3526,1823,224,357,1891,7888,4,224,1093,1525,975,13,6,1,2500,7699,14,6,461,1252,24,10,9,84,33,2658,2,1,1628,461,1066,1002,151,46,25,3,4,2,1,1004,3,1,461,168,8,1,368,10,1774,283,4,7226,283,365,1,7699,2855,14,5,7453,67,6,49,767,4,6,126,139,7,767,3526,1823,13,10,11,14,2009,43,5,1328,7764,526,8,1292,1344,6,1,362,180,1,1294,262,238,1,283,13,10,11,9,5,95,438,139,59,1,1774,4,7226,1147,3,1,0
28,424,1627,2,1,177,4192,1,49,177,4805,18,39,380,17,1,6865,12,42,1446,4866,8,1,707,60,62,257,1869,5,7,1085,6,343,175,62,164,2,16,785,10,64,1,5331,6,5,4153,6,150,140,175,62,55,6526,364,2496,2974,33,20,4176,4192,7,6414,90,1,115,7,156,228,526,75,13,604,4,6445,3856,36,16,1,63,6882,2,94,1,47,1085,707,149,38,287,20,199,9185,1,3538,11,1899,2,3293,227,1964,3979,8792,1,3158,1,50,155,6882,1601,2,16,21,3391,1,3538,5211,1,2895,3,498,2,5913,3088,4,5913,1032,19,1798,2918,2,5,7,4,3001,11,122,2,5746,6104,4,9829,22,1453,335,12,1,19,112,19,4369,389,4,1129,1,707,23,2155,1625,1,105,3,1531,451,241,1,68,13,464,11,103,16,5,5746,1746,8,6882,2,153,6,4,23,534,48,4860,38,2088,2,20,982,10,1,48,507,129,1,5331,25,6,720,6882,4
212,17,2590,34,41,1,629,9,6700,371,8,5,969,1994,2239,426,4364,43,2,172,101,1603,27,1,760,3,38,8046,4,5,2278,2502,23,1784,5,5643,3,169,411,1,629,2772,761,12,758,301,1,243,169,23,134,20,2,1393,38,153,6,842,3,6789,1648,5,168,564,23,45,117,238,35,23,1014,8,627,3,1,243,281,1,834,23,16,470,21,1,193,559,1330,12,758,513,111,41,4,58,16,3990,12,184,11,7,95,95,341,2,441,32,2271,4,1682,632,310,32,2271,2,94,5,5314,2,404,21,343,153,13,5745,48,88,759,22,1,4,1,40,33,55,800,8,8432,3978,1,266,15,118,714,5,208,956,2538,4,690,953,4140,27,6,2288,14,50,3,106,8432,2,2135,1,63,1527,15,2627,1,7883,3974,778,53,1852,9753,32,3,31,153,4906,91,81,1650,25,13,2,16,1158,6,1144,81,466,8,1,559,178,625,11,9,28,1787,424,1
210,6136,1,1818,280,270,8723,3885,32,493,346,6,747,207,620,2,5,6136,2059,8,124,4,42,203,1073,1805,1081,537,21,3367,4,5,1458,654,6,193,7,585,8723,7,2219,1893,247,620,3,5,1935,1706,1,133,13,1,536,14,1353,1705,24,2075,10,1,972,3,42,72,1868,35,45,473,1,1130,731,1244,6,912,193,44,2606,2653,2,113,1073,27,3367,180,1,133,1351,42,1751,8101,333,2,5,383,3057,8723,23,20,2,135,383,448,80,196,448,58,117,43,2,66,83,2,3507,8723,741,42,652,25,1146,4,2485,23,5077,1,533,481,2,410,1,514,178,740,11,13,11,9,183,10,620,23,16,626,6,285,4640,19,1,448,25,8530,3367,1573,9,2,333,2,16,2359,6,301,4,23,2909,249,8,1,791,1643,312,243,358,2000,1264,21,1,6749,99,6,1073,93,5,215,12,1,3367,733,6,93,5,623,841,18,12,1097,5552,1609,27,9731,90,1826,0
512,423,28,864,2,5,4693,3645,3,195,933,6,93,745,1128,3,995,9443,735,17,345,6,32,1082,2,9444,82,1051,6,98,287,88,28,93,745,24,98,318,25,257,7408,320,144,1051,2,87,82,2337,3448,4029,240,71,2192,2,20,191,1,509,12,553,1,591,4375,1,4231,421,729,5,1777,2243,17,1,1603,913,7358,1,9346,286,1432,3,1,591,18,45,1351,34,9,294,2,16,6,1012,2,2294,46,20,2409,1410,27,38,735,99,2,1,4029,4231,591,1,292,18,222,174,2774,27,76,9445,3,1,484,98,3298,882,20,13,10,11,108,5,3407,5858,4,58,2478,5,9446,7,468,9,102,9447,5,4030,6,343,99,6090,17,5,3598,13,1984,5725,805,177,4140,8,4694,28,79,9,34,4231,737,6,42,1341,2,5,2675,1164,4693,3645,3,195,933,24,11,45,9,6,2589,3,2073,3842,320,233,73,46,116,28,16,1764,8,2496,1,2294,953,2,3499,43,4
0,1517,387,1574,251,1292,1,251,1292,600,278,18,367,5,3,1,1369,600,584,7,21,5013,533,32,174,549,278,3035,27,1458,867,4,304,5013,1943,1679,42,63,344,12,686,80,655,21,1,24,10,271,18,316,1,8467,1374,2,167,42,1517,3,4013,1334,93,19,251,1292,19,5,536,1872,227,6610,80,130,4,258,6,1,47,41,20,39,3600,1,1369,1292,600,639,584,2414,10,11,9,3029,2,2349,4610,8,56,732,1,1216,1,350,3,1,1369,1292,600,639,584,2376,13,11,9,5,4602,10,6610,799,16,3786,34,41,1,629,1647,22,1,348,1127,4,604,1943,18,5425,1,1369,1292,2,716,650,6,160,997,1216,1,1453,105,3,561,600,181,2955,719,850,404,8,1,325,1008,10,9,4013,600,24,34,41,10,857,23,16,710,82,181,46,20,365,8,251,1292,97,146,12,2,135,413,805,4013,2216,473,1059,590,3467,5097,4832,5986,3306,3610,531,4,6514,3
6741,135,6,1,63,1735,1340,19,5,2261,4083,2834,34,396,23,305,100,5127,2,5,1874,4,2463,1043,10,75,116,28,20,1078,4,9,5,2626,1159,3,1,2161,3,1,6231,1996,54,3,956,75,9,1305,50,2,1026,6,1,4664,1340,11,14,393,2178,7,1,272,3,2474,1786,3,3011,10,14,1447,19,834,1,2037,259,11,32,1607,4,3249,3,7764,35,799,3157,24,1032,1,1095,4,22,34,114,7453,4,8349,3,8357,2178,18,1256,98,237,130,15,9,5,1451,21,6964,3854,3879,4,836,5,6232,342,2538,3,1,956,3,2002,6119,6,244,352,9535,3363,664,2189,3,6622,1,5921,396,31,1074,4,8294,163,272,945,4,8358,19,112,19,1503,5921,9535,3363,45,770,1871,375,369,7,834,9533,46,330,73,1062,3935,53,4550,5110,1070,143,1,6231,778,6,3891,17,5,420,1044,59,5252,4,6,1884,17,1036,75,18,1070,39,1,834,3,1,2958,1109,559,3,1,41,1
1,398,3,1,182,19,161,3,1,257,2750,12,1,1668,668,878,1845,2290,25,183,2,16,4391,73,398,163,66,47,462,560,9599,2,40,59,2160,807,1,139,7,1845,23,16,636,2,564,12,1,509,306,34,41,1,509,9,294,2,305,1845,3,2448,398,929,52,209,256,3,1,2290,29,25,4594,34,9,1044,59,1,493,159,1845,1070,1550,2,1148,1845,3,2448,1,631,1093,139,25,294,2,176,1,3007,3,684,29,1148,759,27,256,159,2,138,517,532,208,137,2448,1892,25,174,1329,8,1,726,2457,8826,13,12,556,750,9810,1,6704,3193,2649,22,1,1668,74,19,2448,7,224,357,3303,52,1,139,194,5,1522,2102,2084,3,1,3365,3,6878,255,581,9810,5969,49,17,2918,3,1089,783,12,1,2329,3432,4,12,1,767,3,684,35,23,441,5,445,3,2177,163,1,2448,182,7,12,1,120,6,1277,1668,188,901,2487,532,8826,19,326,6,5,496,0
681,2,156,43,3237,529,856,989,3374,90,1826,188,901,5363,989,21,1161,118,9,43,109,3,1,8716,560,6,2562,35,535,51,23,16,5,8,1488,6,1,49,8766,3307,2679,5,8716,6,2198,14,1522,333,2,9305,451,104,12,483,638,21,4473,7,2562,731,8716,14,458,128,8,5,623,67,6,1,1341,2,2935,1,120,2630,154,40,2466,2,451,17,3561,638,19,1268,500,8,1549,459,3,1,2794,363,1,346,6,439,280,270,5,49,74,247,10,702,1226,2820,3,1549,372,4,1549,44,1268,827,372,638,4991,7,332,1477,10,11,14,71,1337,2,387,638,917,18,45,603,2,7161,1484,12,1,120,372,439,25,5799,1571,719,59,5,41,434,4,20,2631,3770,6,332,545,333,2,5,3026,3,2773,1,6024,854,3,1,414,4,1484,10,4991,58,6587,6,638,2,578,129,5,8307,1122,6,500,6,588,4,4631,1484,52,1964,20,45,365,5,161,6,1,3661,0
3151,927,12,1,6949,9,183,2,16,974,12,686,6,5,49,4922,290,6,384,1,47,608,379,37,679,10,1,494,2182,44,2556,19,161,3,113,212,21,1,265,3,2069,1,1955,208,895,1631,25,975,6797,6374,2439,765,393,9014,3946,4,1,4521,3,393,46,1281,65,41,11,18,28,424,39,2264,132,154,425,211,23,20,2,319,2807,3,1,172,208,1631,14,5,1533,6,1,1885,3,1,1417,726,13,1,2260,727,4307,66,70,895,208,1631,3363,4,730,8751,6,1,1822,13,1,790,226,2,1,35,48,3479,2,1,408,1,7750,1631,25,183,2,3571,6343,4,362,29,25,7750,1,408,2,8394,1,9590,4,4323,3,403,1,148,780,49,223,2336,1738,2427,1703,8,1053,6,708,64,32,4746,1885,2457,14,1,139,1961,27,3212,493,1129,65,41,4,1351,42,678,2,1419,6403,208,1417,224,357,3145,1630,9,2,406,738,34,234,12,1163,822,10,15,1,726,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3621,524,2106,8,5815,2663,6892,5815,20,1016,29,20,670,32,8446,524,27,3621,8,1111,4850,4,352,3062,4850,1355,5,271,2,2199,53,5815,1841,5,554,2387,181,300,104,3985,37,92,616,3315,8,1,1119,41,200,3985,37,45,92,32,5729,300,8,1314,41,200,2548,3062,5815,224,357,520,6335,13,33,328,670,32,8446,524,27,3985,8,1,66,181,4,33,257,2047,1,300,2199,7,300,8,1900,3,268,227,4850,8483,7994,2387,4,66,181,4,5986,3985,37,316,616,3315,3,7994,5481,4,8,4850,1355,22,1,1467,269,3
0,0,0,0,0,0,0,1807,424,2,1168,2952,594,3961,1807,18,39,2386,976,67,2,1374,402,2,1291,6,1,68,892,175,1438,1,1652,41,200,9,1028,1,574,35,2923,12,859,513,6,258,58,3130,100,7229,8,1,193,1913,12,701,889,51,9,84,1166,10,3961,36,16,5,543,4677,2,1,2952,232,13,3,72,1591,24,75,9,380,54,402,75,55,7343,1,3425,310,221,154,4634,6,100,1913,1076,1807,426,87,5,281,22,483,1,4507,8,232,1102,173,232,772,9325,5296,13,1,232,36,1474,60,1807,4488,54,3,1,574,11,36,16,1861,2,20,3961,6,1,232,13,1,179,892,175,633,24,62,20,2,2292,10,1591,9,4678,32,1320,717,4,955,2176,8,1,232,9,5,6687,75,9,28,49,241,33,57,1474,1,525,1807,14,68,892,175,633,6,593,4,708,24,1027,65,41,7,574,109,3,475,6,100,3496,1,2952,232,143,5529,6,3907,3
8600,6,1,1117,17,1511,298,498,2,616,345,1211,3,2322,3088,178,2646,1030,3,1,2797,180,626,11,779,2,1917,1,250,17,304,1260,3,1,5935,4,2431,3,2322,2730,403,2992,3,196,58,220,1384,829,2749,56,177,165,287,226,2,5,267,320,3193,21,1,8601,1109,1137,36,102,2,16,302,2,8233,362,3,1,2481,4420,40,3479,2,276,152,181,73,1,8602,7,9868,1,62,71,176,20,48,25,1529,241,6,5,3269,68,15,13,60,33,58,20,10,12,126,2583,33,58,16,5900,163,1,2797,1835,12,1,2370,132,1,2797,103,404,4,60,51,7,5,2102,6,1,2260,10,9,28,12,126,2370,134,33,20,5,525,1,8601,2204,1,597,378,3,1,185,41,733,2,2962,42,177,23,16,6880,77,329,11,18,79,670,27,1,49,4,1,72,1918,2,1468,1,2451,4,235,4,2,8231,1634,57,1,275,250,5186,23,1302,635,2042,13,32,901,496,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2044,7,9704,871,779,2044,2548,449,9704,18,365,128,1108,3,179,639,270,31,232,4110,6,148,238,6,1,1050,53,1864,838,9704,90,115,299,169,607,33,239,69,164,2,1004,12,126,4,150,33,20,2176,955,424,26,170,62,265,353,343,2061,129,1,687,60,62,87,3440,4,404,221,329,73,1,285,60,62,265,303,3488,62,914,759,99,73,1513,1,79,665,10,2640,9,1,111,96,15,13,33,25,371,53,425,70,4,341,153,1318,5,223,119,6,34,555,33,20,2423,840,10,45,2300,4,7482,1859,69,378,49,221,2623,4,33,20,5,349,3,1561,3076,241,1,238,3
303,3055,218,613,21,1,378,3,32,2841,229,594,51,25,84,1446,56,264,1854,8,28,1716,4232,498,2,218,8,4988,48,13,9588,177,211,6,1,49,4,819,1218,1195,3055,218,20,199,39,92,613,21,1,288,378,19,5,1597,594,22,1915,2,800,4,803,1,276,3055,195,8,1218,1195,233,1,3626,839,9,1792,80,32,199,182,4177,122,11,18,186,2,1930,1,218,10,1738,242,25,5594,2,800,322,111,41,4,47,177,237,1,276,3055,195,23,16,3387,17,1158,691,6,1,1209,285,24,5,267,13,42,1169,44,1376,22,1666,113,1000,2,2957,1312,4500,2,2213,47,218,36,16,8,74,2,1586,15,13,30,102,98,3,1,72,7,1464,101,7481,233,23,16,1225,10,5,119,55,16,296,2,87,5,378,2215,195,613,1,3055,195,770,229,6028,5,7754,15,13,26,55,142,140,6423,40,1810,6,7481,6,1,288,119,2084,48,3113,6423,163,1597,659,4
442,2,16,1185,123,27,3103,2845,123,1365,267,520,2747,45,3954,9995,10,1,601,80,1,442,14,28,2993,174,6920,15,118,1,399,103,79,16,166,6,3537,5133,4501,4,26,441,11,341,2,388,10,196,1599,20,39,1006,34,67,15,13,1,271,45,1265,2737,1418,52,1,144,3,1,1585,9332,1,637,1042,20,1271,2,900,1,488,6,660,8686,227,72,45,1741,402,1,1357,37,39,236,12,6920,601,6591,21,3103,2845,33,388,51,103,16,32,1329,73,1,368,365,22,1,72,6,1,3673,3,72,6795,4,3856,4,3327,98,704,21,3103,2845,13,211,3086,6797,1,442,7,6318,5989,2258,18,1265,1418,52,402,1,601,14,2733,163,6920,24,1,7564,90,115,188,49,595,4,9524,6920,4,13,51,14,84,601,10,113,173,14,56,4045,30,7642,1326,27,347,193,14,458,2,3103,2845,53,89,8168,6,4728,6,593,30,3520,1857,27,921,193,14,2070,3046,6,8145,2
1,74,37,2070,1691,8,339,9959,2,94,21,544,66,888,3,160,997,1909,850,5,145,1,4469,14,421,21,4977,4,1,74,14,1225,34,36,346,2,3105,22,2012,4,569,22,2835,1,217,8,1,2276,23,222,27,5,47,803,1,271,23,45,359,1,105,3,3193,717,27,5785,2,3203,24,1,973,515,3,1268,917,4,13,10,149,79,5,230,3,369,88,66,888,3,717,5,145,421,1,74,9,2765,456,11,799,3586,1243,267,8,717,4242,6517,13,26,4877,1,4802,119,2,1234,11,9,2,404,21,1,70,167,3,1,4881,4,412,2,4162,1,1713,35,9,180,1,385,2875,8,717,6483,2,1481,1,873,717,300,15,13,40,5269,103,16,191,12,1872,1473,326,10,32,327,1545,717,2883,37,39,6717,6,332,83,781,5661,3,1,4250,3481,828,13,540,189,28,102,4209,1698,4,10,11,103,16,43,2,1,867,650,2,1374,132,2,943,38,217,2
